"Alpha","age","Age_Category","Condition","Chance","Amount","response_self","SID"
0.238995668398711,11.98055556,"13-Dec","BA",90,20,"chance","1"
0.238995668398711,11.98055556,"13-Dec","BA",10,40,"certain","1"
0.238995668398711,11.98055556,"13-Dec","BA",90,5,"certain","1"
0.238995668398711,11.98055556,"13-Dec","BA",50,20,"certain","1"
0.238995668398711,11.98055556,"13-Dec","BA",75,20,"chance","1"
0.238995668398711,11.98055556,"13-Dec","BA",75,40,"chance","1"
0.238995668398711,11.98055556,"13-Dec","BA",25,10,"certain","1"
0.238995668398711,11.98055556,"13-Dec","BA",75,100,"certain","1"
0.238995668398711,11.98055556,"13-Dec","BA",25,20,"certain","1"
0.238995668398711,11.98055556,"13-Dec","BA",50,40,"certain","1"
0.238995668398711,11.98055556,"13-Dec","BA",25,5,"certain","1"
0.238995668398711,11.98055556,"13-Dec","BA",50,50,"certain","1"
0.238995668398711,11.98055556,"13-Dec","BA",90,100,"chance","1"
0.238995668398711,11.98055556,"13-Dec","BA",50,30,"certain","1"
0.238995668398711,11.98055556,"13-Dec","BA",25,30,"certain","1"
0.238995668398711,11.98055556,"13-Dec","BA",75,30,"chance","1"
0.238995668398711,11.98055556,"13-Dec","BA",75,5,"certain","1"
0.238995668398711,11.98055556,"13-Dec","BA",25,50,"certain","1"
0.238995668398711,11.98055556,"13-Dec","BA",90,10,"chance","1"
0.238995668398711,11.98055556,"13-Dec","BA",50,10,"certain","1"
0.238995668398711,11.98055556,"13-Dec","BA",10,30,"certain","1"
0.238995668398711,11.98055556,"13-Dec","BA",10,5,"certain","1"
0.238995668398711,11.98055556,"13-Dec","BA",90,40,"chance","1"
0.238995668398711,11.98055556,"13-Dec","BA",50,5,"certain","1"
0.238995668398711,11.98055556,"13-Dec","BA",50,100,"chance","1"
0.238995668398711,11.98055556,"13-Dec","BA",75,50,"chance","1"
0.238995668398711,11.98055556,"13-Dec","BA",90,50,"chance","1"
0.238995668398711,11.98055556,"13-Dec","BA",10,20,"certain","1"
0.238995668398711,11.98055556,"13-Dec","BA",10,100,"certain","1"
0.238995668398711,11.98055556,"13-Dec","BA",75,10,"certain","1"
0.238995668398711,11.98055556,"13-Dec","BA",10,10,"certain","1"
0.238995668398711,11.98055556,"13-Dec","BA",25,100,"certain","1"
0.238995668398711,11.98055556,"13-Dec","BA",10,50,"certain","1"
0.238995668398711,11.98055556,"13-Dec","BA",90,30,"chance","1"
